alsa-utils 1.1.5-2
arc-gtk-theme 20180114-1
arm 1.4.5.0-4
atom 1.25.0-1
audacity 2.2.2-1
autoconf 2.69-4
automake 1.15.1-1
baobab 3.28.0-1
bash 4.4.019-1
binutils 2.29.1-3
bison 3.0.4-3
blender 17:2.79-10
bluez-utils 5.49-1
bzip2 1.0.6-7
cava 0.6.0-1
clamav 0.99.4-1
compton-git 0.1_beta2.87.g316eac0-1
conky 1.10.8-2
coreutils 8.29-1
cryptsetup 2.0.2-1
cups 2.2.6-4
cups-pdf 3.0.1-4
darktable 2:2.4.2-1
device-mapper 2.02.177-5
dhcpcd 7.0.1-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
dosfstools 4.1-1
e2fsprogs 1.44.0-1
efibootmgr 15-1
eog 3.28.0-1
epiphany 3.28.0.1+4+g051d4f616-1
evince 3.28.0-1
expac 8-1
fakeroot 1.22-1
feh 2.25.1-1
file 5.32-1
filesystem 2018.1-2
filezilla 3.31.0-1
findutils 4.6.0-2
firefox-developer-edition 60.0b6-1
flashplugin 29.0.0.113-1
flex 2.6.4-1
font-mathematica 9.0-5
fontforge 20170731-1
gawk 4.2.1-1
gcc 7.3.1+20180312-2
gcc-fortran 7.3.1+20180312-2
gcc-libs 7.3.1+20180312-2
gdm 3.28.0-1
gettext 0.19.8.1-2
gimp 2.8.22-1
git 2.16.2-2
glibc 2.26-11
gnome-backgrounds 3.28.0-1
gnome-calculator 3.28.0-1
gnome-calendar 3.28.0.1+2+geb41e059-1
gnome-color-manager 3.28.0-1
gnome-contacts 3.28-2
gnome-control-center 3.28.0-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.28.0-1
gnome-font-viewer 3.28.0-1
gnome-keyring 1:3.28.0.2-1
gnome-logs 3.28.0+1+gea3e78c-1
gnome-screenshot 3.26.0-1
gnome-shell-extensions 3.28.0+1+g496ae16-1
gnome-software 3.28.0-1
gnome-system-monitor 3.28.0-1
gnome-terminal 3.28.0-1
gnome-user-docs 3.28.0-1
gnome-user-share 3.27.90+3+g878737f-1
google-chrome-dev 65.0.3325.51-1
grep 3.1-1
grilo-plugins 0.3.5+12+g7ecf4b2-1
groff 1.22.3-7
grub 2:2.02-5
